game_id,season,week,season_phase,team,opponent,side,home_team,away_team,role,spread_line_away_perspective,spread_abs,spread_bucket,q1_result,q2_result,q3_result,q4_result,path4,q1_points_for,q1_points_against,q2_points_for,q2_points_against,q3_points_for,q3_points_against,q4_points_for,q4_points_against,ot_points_for,ot_points_against,after_q1_margin,after_q2_margin,after_q3_margin,after_q4_margin,after_q1_state,after_q2_state,after_q3_state,after_q4_regulation_state,after_q1_margin_bucket,after_q2_margin_bucket,after_q3_margin_bucket,after_q4_margin_bucket,final_margin,final_state,went_to_overtime
2022_14_HOU_DAL,2022,14,LATE,HOU,DAL,away,DAL,HOU,UNDERDOG,17.0,17.0,14+,WIN,TIE,WIN,LOSS,WIN-TIE-WIN-LOSS,10.0,7.0,10.0,10.0,3.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,6.0,-4.0,WIN,WIN,WIN,LOSS,LEAD_1_3,LEAD_1_3,LEAD_4_7,TRAIL_4_7,-4.0,LOSS,False
2022_15_KC_HOU,2022,15,LATE,HOU,KC,home,HOU,KC,UNDERDOG,-14.5,14.5,14+,WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,7.0,0.0,7.0,13.0,7.0,3.0,3.0,8.0,0.0,6.0,7.0,1.0,5.0,0.0,WIN,WIN,WIN,TIE,LEAD_4_7,LEAD_1_3,LEAD_4_7,TIE,-6.0,LOSS,True
2022_16_HOU_TEN,2022,16,LATE,HOU,TEN,away,TEN,HOU,UNDERDOG,3.0,3.0,2-3,TIE,WIN,LOSS,WIN,TIE-WIN-LOSS-WIN,7.0,7.0,3.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,3.0,-4.0,5.0,TIE,WIN,LOSS,WIN,TIE,LEAD_1_3,TRAIL_4_7,LEAD_4_7,5.0,WIN,False
2022_17_JAX_HOU,2022,17,LATE,HOU,JAX,home,HOU,JAX,UNDERDOG,-3.5,3.5,3.5-4.5,LOSS,LOSS,LOSS,LOSS,LOSS-LOSS-LOSS-LOSS,0.0,7.0,0.0,14.0,3.0,7.0,0.0,3.0,0.0,0.0,-7.0,-21.0,-25.0,-28.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_15_PLUS,TRAIL_15_PLUS,TRAIL_15_PLUS,-28.0,LOSS,False
2022_18_HOU_IND,2022,18,LATE,HOU,IND,away,IND,HOU,UNDERDOG,3.0,3.0,2-3,WIN,WIN,LOSS,LOSS,WIN-WIN-LOSS-LOSS,10.0,7.0,7.0,0.0,7.0,14.0,8.0,10.0,0.0,0.0,3.0,10.0,3.0,1.0,WIN,WIN,WIN,WIN,LEAD_1_3,LEAD_8_14,LEAD_1_3,LEAD_1_3,1.0,WIN,False
2023_01_HOU_BAL,2023,1,EARLY,HOU,BAL,away,BAL,HOU,UNDERDOG,9.5,9.5,7.5-9.5,LOSS,WIN,LOSS,TIE,LOSS-WIN-LOSS-TIE,0.0,7.0,6.0,0.0,0.0,15.0,3.0,3.0,0.0,0.0,-7.0,-1.0,-16.0,-16.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_1_3,TRAIL_15_PLUS,TRAIL_15_PLUS,-16.0,LOSS,False
2023_02_IND_HOU,2023,2,EARLY,HOU,IND,home,HOU,IND,UNDERDOG,-1.0,1.0,0.5-1.5,LOSS,LOSS,LOSS,WIN,LOSS-LOSS-LOSS-WIN,7.0,14.0,3.0,14.0,0.0,3.0,10.0,0.0,0.0,0.0,-7.0,-18.0,-21.0,-11.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_15_PLUS,TRAIL_15_PLUS,TRAIL_8_14,-11.0,LOSS,False
2023_03_HOU_JAX,2023,3,EARLY,HOU,JAX,away,JAX,HOU,UNDERDOG,7.5,7.5,7.5-9.5,WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,7.0,0.0,10.0,0.0,7.0,10.0,13.0,7.0,0.0,0.0,7.0,17.0,14.0,20.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_15_PLUS,LEAD_8_14,LEAD_15_PLUS,20.0,WIN,False
2023_04_PIT_HOU,2023,4,EARLY,HOU,PIT,home,HOU,PIT,UNDERDOG,-3.0,3.0,2-3,WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,10.0,0.0,6.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,10.0,16.0,10.0,24.0,WIN,WIN,WIN,WIN,LEAD_8_14,LEAD_15_PLUS,LEAD_8_14,LEAD_15_PLUS,24.0,WIN,False
2023_05_HOU_ATL,2023,5,EARLY,HOU,ATL,away,ATL,HOU,UNDERDOG,2.5,2.5,2-3,LOSS,WIN,WIN,LOSS,LOSS-WIN-WIN-LOSS,3.0,7.0,6.0,0.0,3.0,0.0,7.0,14.0,0.0,0.0,-4.0,2.0,5.0,-2.0,LOSS,WIN,WIN,LOSS,TRAIL_4_7,LEAD_1_3,LEAD_4_7,TRAIL_1_3,-2.0,LOSS,False
