margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_LEAD_4_7__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,3,0,0.0,,2,0.6666666666666666,-5.333333333333333,0.37161076068878174,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,2,2,1.0,,2,1.0,10.5,0.8846189379692078,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,2,2,1.0,,2,1.0,3.0,0.6928464472293854,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,2,2,1.0,,2,1.0,11.5,0.9614318907260895,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,2,2,1.0,,2,1.0,7.0,0.7630363702774048,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,2,2,1.0,,2,1.0,13.5,0.8496399819850922,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,2,2,1.0,,2,1.0,12.0,0.9662925601005554,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,2,2,1.0,,2,1.0,8.5,0.7736803889274597,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_LEAD_14_PLUS__Q3_LEAD_8+,2,2,1.0,,2,1.0,6.5,0.950890839099884,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,2,2,1.0,,2,1.0,13.0,0.888929545879364,SAMPLE_TOO_SMALL
Q1_TRAIL_8_13__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,2,2,1.0,,2,1.0,5.0,0.482435017824173,SAMPLE_TOO_SMALL
Q1_TRAIL_8_13__Q2_TIE__Q3_LEAD_8_13__Q3_LEAD_8+,2,2,1.0,,2,1.0,10.5,0.9109667837619781,SAMPLE_TOO_SMALL
Q1_TRAIL_8_13__Q2_TRAIL_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,2,2,1.0,,2,1.0,6.0,0.8699035048484802,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,2,1,0.5,-100.0,2,1.0,0.0,0.6947343945503235,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,2,1,0.5,-100.0,2,1.0,1.5,0.6540988683700562,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,2,1,0.5,-100.0,2,1.0,1.0,0.6554390490055084,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_TRAIL_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,2,1,0.5,-100.0,2,1.0,6.0,0.7760384976863861,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,2,1,0.5,-100.0,2,1.0,1.0,0.7952030301094055,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_1_3__Q3_LEAD_1-3,2,1,0.5,-100.0,1,0.5,0.0,0.627406895160675,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,2,1,0.5,-100.0,2,1.0,0.0,0.46830353140830994,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,2,1,0.5,-100.0,1,0.5,-4.5,0.6851979196071625,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,2,1,0.5,-100.0,1,0.5,-4.0,0.5662566125392914,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,2,1,0.5,-100.0,2,1.0,2.0,0.6891040503978729,SAMPLE_TOO_SMALL
