margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_TRAIL_1_3__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,4,4,1.0,,4,1.0,5.5,0.6263546645641327,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,4,3,0.75,-300.0,3,0.75,2.25,0.6552774310112,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,4,3,0.75,-300.0,4,1.0,3.25,0.7471437156200409,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,4,3,0.75,-300.0,4,1.0,3.75,0.8514675199985504,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,4,3,0.75,-300.0,4,1.0,4.0,0.7331750690937042,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,4,3,0.75,-300.0,4,1.0,2.5,0.6427063643932343,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,4,3,0.75,-300.0,3,0.75,7.5,0.9691000580787659,SAMPLE_TOO_SMALL
Q1_TRAIL_8_13__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,4,3,0.75,-300.0,3,0.75,3.75,0.723421573638916,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,4,2,0.5,-100.0,3,0.75,-1.25,0.6048322319984436,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,4,2,0.5,-100.0,4,1.0,10.25,0.8871966302394867,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,4,1,0.25,300.0,3,0.75,-2.75,0.5941269099712372,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,4,1,0.25,300.0,1,0.25,-4.0,0.70353564620018,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,4,1,0.25,300.0,2,0.5,0.0,0.5509025752544403,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,4,0,0.0,,2,0.5,-4.5,0.7165492177009583,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,3,3,1.0,,3,1.0,7.0,0.9243990778923035,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,3,3,1.0,,3,1.0,7.666666666666667,0.7230706214904785,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,3,3,1.0,,3,1.0,8.0,0.7350225448608398,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,3,3,1.0,,3,1.0,10.666666666666666,0.9657265543937683,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,3,3,1.0,,3,1.0,6.333333333333333,0.8308938145637512,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TRAIL_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,3,3,1.0,,3,1.0,7.333333333333333,0.6853785514831543,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,3,3,1.0,,3,1.0,9.666666666666666,0.8148581981658936,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TIE__Q3_LEAD_8_13__Q3_LEAD_8+,3,3,1.0,,3,1.0,4.0,0.870003342628479,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_1_3__Q3_LEAD_14_PLUS__Q3_LEAD_8+,3,2,0.6666666666666666,-199.99999999999994,2,0.6666666666666666,6.666666666666667,0.9728090167045593,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,3,2,0.6666666666666666,-199.99999999999994,3,1.0,0.6666666666666666,0.6303126811981201,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,3,2,0.6666666666666666,-199.99999999999994,3,1.0,8.0,0.983026921749115,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,3,2,0.6666666666666666,-199.99999999999994,2,0.6666666666666666,-2.3333333333333335,0.5574219822883606,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,3,2,0.6666666666666666,-199.99999999999994,3,1.0,0.6666666666666666,0.5946974158287048,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,3,2,0.6666666666666666,-199.99999999999994,3,1.0,7.666666666666667,0.828425407409668,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,3,1,0.3333333333333333,200.00000000000003,1,0.3333333333333333,-2.0,0.5866442918777466,SAMPLE_TOO_SMALL
