game_id,snapshot,underdog_side,underdog_team,favorite_team,spread_line_away_perspective,underdog_score_now,favorite_score_now,underdog_margin_now,underdog_wp,underdog_fair_ml,underdog_vegas_wp,underdog_vegas_fair_ml,underdog_final,favorite_final,underdog_final_margin,underdog_won_su,underdog_covered,ats_margin,pregame_spread_abs,season
2017_08_IND_CIN,H1,away,IND,CIN,11.0,13.0,10.0,3.0,0.5506046414375305,-122.52121232377885,0.33733004331588745,196.44557898555323,23,24,-1,False,True,10.0,11.0,2017
2017_08_MIN_CLE,H1,home,CLE,MIN,-11.0,13.0,12.0,1.0,0.6210339069366455,-163.87585018927348,0.38508525490760803,159.68275524855554,16,33,-17,False,False,-6.0,11.0,2017
2017_08_PIT_DET,H1,home,DET,PIT,-3.0,12.0,10.0,2.0,0.6806350350379944,-213.1213845322603,0.5449121594429016,-119.73779804264694,15,20,-5,False,False,-2.0,3.0,2017
2017_09_ATL_CAR,H1,home,CAR,ATL,-3.0,14.0,10.0,4.0,0.6962094306945801,-229.17414200393975,0.5761141180992126,-135.91255163201097,20,17,3,True,True,6.0,3.0,2017
2017_09_BUF_NYJ,H1,home,NYJ,BUF,-3.0,10.0,7.0,3.0,0.6287232637405396,-169.34087227624383,0.4987946152687073,100.48331906335571,34,21,13,True,True,16.0,3.0,2017
2017_09_IND_HOU,H1,away,IND,HOU,6.0,10.0,7.0,3.0,0.5896167755126953,-143.67467779642033,0.5001258254051208,-100.05034283086252,20,14,6,True,True,12.0,6.0,2017
2017_09_WAS_SEA,H1,away,WAS,SEA,8.0,7.0,2.0,5.0,0.6439070105552673,-180.82552300715957,0.4106065630912781,143.5421373860747,17,14,3,True,True,11.0,8.0,2017
2017_10_GB_CHI,H1,away,GB,CHI,4.5,10.0,6.0,4.0,0.6154525876045227,-160.0459573425961,0.5327525734901428,-114.01937030869955,23,16,7,True,True,11.5,4.5,2017
2017_10_LAC_JAX,H1,away,LAC,JAX,5.0,7.0,6.0,1.0,0.46048271656036377,117.16341657068729,0.40341025590896606,147.88660807514546,17,20,-3,False,True,2.0,5.0,2017
2017_10_NYG_SF,H1,home,SF,NYG,-3.0,17.0,13.0,4.0,0.6569479703903198,-191.50097177322812,0.5285124778747559,-112.09469033082149,31,21,10,True,True,13.0,3.0,2017
