flow_margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,9,7,0.7777777777777778,-350.00000000000006,9,1.0,10.222222222222221,0.8131420612335205,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,9,6,0.6666666666666666,-199.99999999999994,7,0.7777777777777778,0.1111111111111111,0.5952500104904175,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,9,5,0.5555555555555556,-125.00000000000001,8,0.8888888888888888,0.8888888888888888,0.6727935671806335,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,9,4,0.4444444444444444,125.00000000000001,7,0.7777777777777778,3.888888888888889,0.8424143195152283,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,9,4,0.4444444444444444,125.00000000000001,7,0.7777777777777778,1.6666666666666667,0.6213645339012146,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,9,1,0.1111111111111111,800.0,7,0.7777777777777778,-2.888888888888889,0.7180553674697876,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,8,7,0.875,-700.0,8,1.0,8.625,0.8428682684898376,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,8,7,0.875,-700.0,8,1.0,8.5,0.8471501767635345,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,8,7,0.875,-700.0,8,1.0,8.75,0.8695265352725983,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,8,6,0.75,-300.0,7,0.875,3.875,0.8123394250869751,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,8,6,0.75,-300.0,7,0.875,6.625,0.7889439463615417,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,8,6,0.75,-300.0,7,0.875,2.875,0.6949701011180878,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,8,5,0.625,-166.66666666666666,7,0.875,-0.375,0.5254910588264465,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,8,5,0.625,-166.66666666666666,7,0.875,8.5,0.8958788812160492,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,8,5,0.625,-166.66666666666666,6,0.75,2.125,0.533175140619278,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,8,4,0.5,-100.0,6,0.75,2.125,0.7335285544395447,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,7,7,1.0,,7,1.0,13.142857142857142,0.9734948873519897,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,7,7,1.0,,7,1.0,6.714285714285714,0.8487237691879272,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_TIE__Q3_LEAD_8_13__Q3_LEAD_8+,7,6,0.8571428571428571,-599.9999999999998,6,0.8571428571428571,7.571428571428571,0.8560080528259277,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,7,6,0.8571428571428571,-599.9999999999998,6,0.8571428571428571,7.857142857142857,0.831706702709198,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,7,5,0.7142857142857143,-250.00000000000003,7,1.0,1.7142857142857142,0.600955069065094,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_1_3__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,7,5,0.7142857142857143,-250.00000000000003,7,1.0,8.428571428571429,0.8215638995170593,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,7,5,0.7142857142857143,-250.00000000000003,7,1.0,8.0,0.8866319060325623,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,7,4,0.5714285714285714,-133.33333333333331,7,1.0,0.7142857142857143,0.7069886922836304,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TRAIL_1_3__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,7,4,0.5714285714285714,-133.33333333333331,6,0.8571428571428571,1.7142857142857142,0.7021427154541016,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,6,6,1.0,,6,1.0,13.166666666666666,0.9586778283119202,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,6,6,1.0,,6,1.0,19.666666666666668,0.9835368394851685,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,6,5,0.8333333333333334,-500.00000000000017,5,0.8333333333333334,6.5,0.9776974618434906,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TRAIL_1_3__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,6,5,0.8333333333333334,-500.00000000000017,5,0.8333333333333334,10.0,0.8544183969497681,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TRAIL_1_3__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,6,4,0.6666666666666666,-199.99999999999994,5,0.8333333333333334,0.3333333333333333,0.6767976582050323,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,6,3,0.5,-100.0,5,0.8333333333333334,2.0,0.632853776216507,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,6,3,0.5,-100.0,5,0.8333333333333334,-0.8333333333333334,0.5670788884162903,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,6,3,0.5,-100.0,5,0.8333333333333334,0.0,0.7515257298946381,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,5,5,1.0,,5,1.0,13.8,0.8922256231307983,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,5,5,1.0,,5,1.0,9.8,0.7683393359184265,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,5,5,1.0,,5,1.0,11.6,0.9457681179046631,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,5,5,1.0,,5,1.0,13.2,0.9740160703659058,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,5,5,1.0,,5,1.0,13.2,0.9568254351615906,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,5,4,0.8,-400.0000000000001,4,0.8,2.4,0.7528306841850281,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,5,4,0.8,-400.0000000000001,4,0.8,5.8,0.7069588303565979,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,5,4,0.8,-400.0000000000001,5,1.0,1.8,0.6964224576950073,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,5,4,0.8,-400.0000000000001,5,1.0,7.6,0.8460707068443298,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,5,4,0.8,-400.0000000000001,5,1.0,11.2,0.9703873991966248,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,5,3,0.6,-150.0,4,0.8,0.6,0.6845788955688477,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,5,3,0.6,-150.0,5,1.0,2.2,0.7431592345237732,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,5,3,0.6,-150.0,4,0.8,3.0,0.8536568284034729,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,5,3,0.6,-150.0,5,1.0,2.8,0.7257730960845947,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,5,3,0.6,-150.0,5,1.0,3.0,0.7346483469009399,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,5,2,0.4,150.0,3,0.6,0.8,0.7328438758850098,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,5,2,0.4,150.0,3,0.6,-1.8,0.6048629283905029,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,5,2,0.4,150.0,2,0.4,-1.2,0.7412035465240479,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_14_PLUS__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,5,2,0.4,150.0,4,0.8,2.4,0.6249638795852661,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,5,2,0.4,150.0,5,1.0,2.2,0.6947717070579529,SAMPLE_TOO_SMALL
